Code_geo,commune_name,resultat_election_prec,G_prec,C_prec,D_prec,ED_prec,residence_secondaire,pop_age_0_14_today,pop_age_15_64_today,pop_age_65plus_today,diploma_bac_today,diploma_sup_today,revenus_median_today,criminalite_prec,surface_agri_prec,chomage_rate_prec,proba_C,proba_ED,proba_G,proba_D,prediction
3278,Taxat-Senat,C,32.0,61.0,18.0,25.0,15.835934016941628,33.2657657657657,117.85585585585588,59.8783783783784,50.00000000000006,28.651685393258468,24340.0,6192.0,1511.27,10.0,0.3179608125666389,0.3495383679137158,0.3081317478560386,0.024369071663606787,ED
3279,Teillet-Argenty,ED,75.0,107.0,16.0,142.0,16.091954022988507,115.0,343.0,95.0,42.14463840399002,24.438902743142144,21220.0,6192.0,820.89,40.0,0.25586077956755593,0.45455973697938773,0.27564783688600497,0.013931646567051106,ED
3280,Terjat,ED,31.0,37.0,9.0,60.0,16.26330902976442,19.1055555555556,107.59444444444516,54.3000000000002,41.44736842105266,19.73684210526316,18610.0,6192.0,1843.54,15.0,0.3043787440622373,0.44460046626302924,0.23680946275566556,0.014211326919067853,ED
3281,Le Theil,C,37.0,90.0,34.0,63.0,13.022656164127488,52.9415655908404,225.7467595762016,109.311674832958,39.0727832405188,20.75903624348133,19680.0,6192.0,3399.44,30.0,0.3071755088154623,0.46074181606201614,0.2181510285554705,0.013931646567051106,ED
3282,Theneuille,G,81.0,75.0,18.0,54.0,24.57912457912457,41.0,190.0,109.0,46.50349650349651,24.125874125874127,18960.0,6192.0,2672.76,25.0,0.3018071222545638,0.3281013528470279,0.37009152489840824,0.0,G
3283,Thiel-sur-Acolin,ED,136.0,225.0,42.0,241.0,6.358604249646087,191.320257223965,593.381772202891,251.297970573144,38.68529607222554,19.507870607228845,21870.0,6192.0,4030.45,85.0,0.26281531843371214,0.5744716129057899,0.16271306866049806,0.0,ED
3284,Thionne,ED,38.0,66.0,10.0,87.0,19.08513379097212,39.2463344677263,153.32131137046696,89.4323541618078,35.27646018971142,17.865803862844185,21660.0,6192.0,921.0,20.0,0.28550981143991233,0.4797395500322942,0.20403781003143517,0.030712828496358018,ED
3285,Tortezais,ED,28.0,38.0,10.0,46.0,14.731457800511524,26.25,108.8888888888889,39.8611111111111,47.586206896551786,26.206896551724164,23890.0,6192.0,1524.84,10.0,0.2983643430138921,0.3729127506448826,0.28842892476372894,0.04029398157749633,ED
3286,Toulon-sur-Allier,C,163.0,298.0,53.0,227.0,2.225300394945464,187.431562819164,637.639394882797,345.929042298039,41.26116052302341,23.47633881678172,24180.0,6192.0,1386.05,60.0,0.26581688057671476,0.5692206534557702,0.13284405156233278,0.03211841440518244,ED
3287,Treban,ED,54.0,70.0,18.0,73.0,12.75981002292445,62.8849305856233,222.4641736356062,90.6508957787705,44.59108583769692,20.39654077441988,20800.0,6192.0,1825.23,30.0,0.2859670932690101,0.5015219294194515,0.20665757224734388,0.0058534050641945124,ED
3288,Treignat,ED,63.0,93.0,17.0,106.0,15.724715556342453,49.3998340266918,242.2417226454622,124.358443327846,38.68809984702405,21.09824133633949,19560.0,6192.0,2323.17,40.0,0.2867003580615787,0.445947426092706,0.25342056927866413,0.013931646567051106,ED
3289,Treteau,ED,56.0,104.0,25.0,145.0,5.5330478200195365,73.6046628491788,295.6661329366772,147.729204214144,35.19234313002823,15.951541239383497,21340.0,6192.0,1684.94,40.0,0.24406731503862203,0.6158518880215349,0.14008079693984296,0.0,ED
3290,Trévol,C,258.0,355.0,60.0,306.0,1.881720430107527,316.0,947.0,376.0,51.2013256006628,30.4059652029826,25010.0,6192.0,2089.13,65.0,0.35846925912436123,0.493394003947685,0.13959976219995313,0.008536974728000591,ED
3291,Trézelles,ED,59.0,58.0,23.0,98.0,6.666666666666667,56.0,233.0,104.0,39.80891719745223,20.382165605095544,21150.0,6192.0,1258.3,35.0,0.2545303598442293,0.5622055912651113,0.17518580738780293,0.008078241502856593,ED
3292,Tronget,G,197.0,146.0,32.0,144.0,4.142017480265654,133.674631865054,471.73403075335,283.591337381597,29.888729559013,15.652313454985489,21370.0,6192.0,1230.43,55.0,0.23101415437769146,0.6409528304321439,0.1280330151901646,0.0,ED
3293,Urçay,ED,29.0,38.0,13.0,94.0,17.93493954615417,35.3323889466571,167.69933554546003,92.9682755078829,31.742035529035974,12.69801379412843,20720.0,6192.0,404.87,30.0,0.24062198482551508,0.5071013631833597,0.22704753821384113,0.025229113777284328,ED
3294,Ussel-d'Allier,C,24.0,41.0,18.0,27.0,30.53055015978824,24.5853658536586,89.1219512195121,54.2926829268293,45.65217391304336,25.36231884057963,23600.0,6192.0,715.8,15.0,0.2772829646013807,0.31369455394165013,0.3313115980731951,0.0777108833837739,G
3295,Valignat,C,9.0,20.0,0.0,18.0,32.20338983050847,11.0,39.0,15.0,35.18518518518518,22.22222222222222,,6192.0,18.3,5.0,0.2477920258712321,0.3294991771761721,0.25895598702537115,0.16375280992722452,ED
3296,Valigny,ED,46.0,67.0,19.0,78.0,26.03003135666013,52.1969359806121,191.14860634099287,132.654457678395,30.7990004768295,16.959661853149992,19680.0,6192.0,1069.1,30.0,0.30224030506161875,0.4730336184879366,0.21316017665396747,0.011565899796477076,ED
3297,Vallon-en-Sully,ED,185.0,286.0,88.0,335.0,3.634361233480176,146.0,768.0,554.0,33.093525179856115,17.74580335731415,20790.0,6192.0,2889.16,90.0,0.25413692186080633,0.6007914833990334,0.14507159474016026,0.0,ED
3298,Varennes-sur-Allier,ED,380.0,605.0,132.0,714.0,0.9340734252399792,443.645413762448,2094.097755454872,1050.25683078268,31.306124769760224,14.871262706066982,20200.0,6192.0,1947.49,355.0,0.27834249295702235,0.5885887466261663,0.13306876041681112,0.0,ED
3299,Varennes-sur-Tèche,C,11.0,62.0,10.0,57.0,15.701775543413174,32.9926979632607,133.3075195547159,58.6997824820234,32.75827363233011,7.639559467581527,18280.0,6192.0,2254.33,15.0,0.3836668026686831,0.4007808475233102,0.20969894474381243,0.0058534050641945124,ED
3300,Vaumas,ED,67.0,100.0,16.0,108.0,9.655718643686384,100.233144412852,306.53167385367806,131.23518173347,32.241065122942345,16.115024395663884,19590.0,96002.0,2364.41,35.0,0.195222662857652,0.6337140975061734,0.16520983457198057,0.0058534050641945124,ED
