code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
01001;L'Abergement-Clémenciat;379.0;354.0;11.0;2.9023746701846966;Très faible (0-5%)
01002;L'Abergement-De-Varey;175.0;121.0;41.0;23.42857142857143;Élevé (20-40%)
01004;Ambérieu-En-Bugey;7973.37070832312;7107.01247632609;125.143124125927;1.5695134304403346;Très faible (0-5%)
01005;Ambérieux-En-Dombes;920.955244744725;814.669984514292;7.74996689180245;0.8415139536938763;Très faible (0-5%)
01006;Ambléon;71.0;57.0;8.0;11.267605633802818;Moyen (10-20%)
01007;Ambronay;1302.2131418788;1207.20545288802;42.3403831371965;3.251417281514213;Très faible (0-5%)
01008;Ambutrix;365.970372775403;332.634240178719;11.7656938576535;3.214930697374822;Très faible (0-5%)
01009;Andert-Et-Condon;198.6328170006;154.492719875911;24.3932115689075;12.280554611896692;Moyen (10-20%)
01010;Anglefort;615.716755549125;495.48972717725;68.4050333839976;11.10982164566738;Moyen (10-20%)
01011;Apremont;200.928595933028;169.261242325661;16.3796656589829;8.151983336628922;Faible (5-10%)
01012;Aranc;220.480110117795;156.375500704889;48.3411808687489;21.925415785996236;Élevé (20-40%)
01013;Arandas;121.057971014493;74.0579710144929;35.2500000000001;29.11828085717708;Élevé (20-40%)
01014;Arbent;1531.98830939253;1414.2957763158;14.8351932449657;0.9683620399719768;Très faible (0-5%)
01015;Arboys En Bugey;423.530884365923;310.742342975342;67.4405711407601;15.923412820702982;Moyen (10-20%)
01016;Arbigny;219.76940665658;186.187908859224;17.2995594713657;7.871686844201499;Faible (5-10%)
01017;Argis;324.0;200.0;53.0;16.358024691358025;Moyen (10-20%)
01019;Armix;27.5;12.5;14.0;50.90909090909091;Très élevé (40%+)
01021;Ars-Sur-Formans;625.235686129948;580.91785591344;17.2347117508643;2.7565144045988226;Très faible (0-5%)
01022;Artemare;740.0;583.0;41.0;5.540540540540541;Faible (5-10%)
01023;Asnières-Sur-Saône;46.4473684210526;34.4473684210526;7.0;15.070821529745052;Moyen (10-20%)
