commune_code;commune_name;exprimes_nb;vote_C;vote_D;vote_ED;vote_G;resultat_election_2022
01096;Chaveyriat;604;195.0;45.0;258.0;106.0;Extrême-Droite
01098;Chazey-Bons;594;198.0;39.0;224.0;133.0;Extrême-Droite
01099;Chazey-sur-Ain;976;339.0;73.0;380.0;184.0;Extrême-Droite
01100;Cheignieu-la-Balme;98;31.0;7.0;37.0;23.0;Extrême-Droite
01101;Chevillard;119;35.0;13.0;43.0;28.0;Extrême-Droite
01102;Chevroux;514;146.0;49.0;249.0;70.0;Extrême-Droite
01103;Chevry;787;362.0;75.0;210.0;140.0;Centre
01104;Chézery-Forens;283;105.0;21.0;84.0;73.0;Centre
01105;Civrieux;1124;433.0;76.0;426.0;189.0;Centre
01106;Cize;104;33.0;7.0;36.0;28.0;Extrême-Droite
01107;Cleyzieu;90;24.0;8.0;35.0;23.0;Extrême-Droite
01108;Coligny;709;188.0;61.0;300.0;160.0;Extrême-Droite
01109;Collonges;920;334.0;73.0;299.0;214.0;Centre
01110;Colomieu;98;24.0;7.0;32.0;35.0;Gauche
01111;Conand;81;28.0;3.0;23.0;27.0;Centre
01112;Condamine;237;67.0;24.0;97.0;49.0;Extrême-Droite
01113;Condeissiat;464;190.0;36.0;170.0;68.0;Centre
01114;Confort;324;109.0;25.0;114.0;76.0;Extrême-Droite
01115;Confrançon;735;254.0;57.0;296.0;128.0;Extrême-Droite
01116;Contrevoz;320;97.0;22.0;115.0;86.0;Extrême-Droite
01117;Conzieu;88;32.0;1.0;35.0;20.0;Extrême-Droite
01118;Corbonod;639;210.0;52.0;228.0;149.0;Extrême-Droite
01121;Corlier;71;29.0;3.0;24.0;15.0;Centre
01123;Cormoranche-sur-Saône;718;273.0;56.0;271.0;118.0;Centre
01124;Cormoz;371;129.0;29.0;159.0;54.0;Extrême-Droite
01125;Corveissiat;353;109.0;24.0;133.0;87.0;Extrême-Droite
01127;Courmangoux;318;103.0;27.0;106.0;82.0;Extrême-Droite
01128;Courtes;159;44.0;8.0;76.0;31.0;Extrême-Droite
01129;Crans;195;61.0;17.0;82.0;35.0;Extrême-Droite
01130;Bresse Vallons;1341;452.0;129.0;540.0;220.0;Extrême-Droite
01133;Cressin-Rochefort;274;82.0;25.0;94.0;73.0;Extrême-Droite
01134;Crottet;1070;401.0;76.0;424.0;169.0;Extrême-Droite
01135;Crozet;944;400.0;79.0;280.0;185.0;Centre
01136;Cruzilles-lès-Mépillat;557;200.0;35.0;235.0;87.0;Extrême-Droite
01138;Culoz;1369;356.0;81.0;556.0;376.0;Extrême-Droite
01139;Curciat-Dongalon;252;82.0;25.0;109.0;36.0;Extrême-Droite
01140;Curtafond;479;161.0;38.0;180.0;100.0;Extrême-Droite
01141;Cuzieu;286;110.0;23.0;88.0;65.0;Centre
01142;Dagneux;2474;858.0;162.0;884.0;570.0;Extrême-Droite
01143;Divonne-les-Bains;4579;2453.0;432.0;1044.0;650.0;Centre
01145;Dompierre-sur-Veyle;701;230.0;44.0;312.0;115.0;Extrême-Droite
01146;Dompierre-sur-Chalaronne;256;84.0;29.0;100.0;43.0;Extrême-Droite
01147;Domsure;324;105.0;32.0;149.0;38.0;Extrême-Droite
01148;Dortan;1038;333.0;86.0;428.0;191.0;Extrême-Droite
01149;Douvres;708;253.0;65.0;253.0;137.0;Centre
01150;Drom;145;38.0;8.0;41.0;58.0;Gauche
01151;Druillat;741;257.0;55.0;304.0;125.0;Extrême-Droite
01152;Echallon;500;181.0;39.0;162.0;118.0;Centre
01153;Echenevex;985;482.0;103.0;228.0;172.0;Centre
01155;Evosges;106;30.0;7.0;50.0;19.0;Extrême-Droite
01156;Faramans;553;170.0;57.0;251.0;75.0;Extrême-Droite
01157;Fareins;1530;593.0;101.0;538.0;298.0;Centre
01158;Farges;439;161.0;34.0;132.0;112.0;Centre
01159;Feillens;1927;764.0;195.0;705.0;263.0;Centre
01160;Ferney-Voltaire;2937;1225.0;193.0;540.0;979.0;Centre
01162;Flaxieu;86;23.0;13.0;34.0;16.0;Extrême-Droite
01163;Foissiat;1205;432.0;118.0;485.0;170.0;Extrême-Droite
01165;Francheleins;919;319.0;67.0;397.0;136.0;Extrême-Droite
01166;Frans;1455;570.0;112.0;529.0;244.0;Centre
01167;Garnerans;438;144.0;34.0;171.0;89.0;Extrême-Droite
01169;Genouilleux;404;117.0;28.0;188.0;71.0;Extrême-Droite
01170;Beard-Géovreissiat;537;158.0;33.0;235.0;111.0;Extrême-Droite
01171;Géovreisset;417;130.0;29.0;165.0;93.0;Extrême-Droite
01173;Gex;4678;2029.0;357.0;1155.0;1137.0;Centre
01174;Giron;108;47.0;6.0;33.0;22.0;Centre
01175;Gorrevod;496;180.0;37.0;165.0;114.0;Centre
01177;Grand-Corent;134;39.0;3.0;35.0;57.0;Gauche
01179;Grièges;1150;410.0;114.0;437.0;189.0;Extrême-Droite
01180;Grilly;432;229.0;38.0;104.0;61.0;Centre
01181;Groissiat;728;247.0;77.0;268.0;136.0;Extrême-Droite
01183;Guéreins;847;298.0;82.0;337.0;130.0;Extrême-Droite
01184;Hautecourt-Romanèche;498;155.0;45.0;179.0;119.0;Extrême-Droite
01185;Plateau d'Hauteville;2328;766.0;205.0;730.0;627.0;Centre
01187;Haut Valromey;493;179.0;59.0;136.0;119.0;Centre
01188;Illiat;409;137.0;44.0;192.0;36.0;Extrême-Droite
01189;Injoux-Génissiat;586;191.0;46.0;215.0;134.0;Extrême-Droite
01190;Innimond;90;30.0;7.0;32.0;21.0;Extrême-Droite
01191;Izenave;113;47.0;14.0;37.0;15.0;Centre
01192;Izernore;1185;369.0;107.0;490.0;219.0;Extrême-Droite
01193;Izieu;160;50.0;15.0;68.0;27.0;Extrême-Droite
01194;Jassans-Riottier;3303;1228.0;235.0;1099.0;741.0;Centre
01195;Jasseron;1104;440.0;111.0;322.0;231.0;Centre
01196;Jayat;681;219.0;57.0;317.0;88.0;Extrême-Droite
01197;Journans;239;91.0;16.0;60.0;72.0;Centre
01198;Joyeux;174;71.0;17.0;44.0;42.0;Centre
01199;Jujurieux;1156;383.0;68.0;426.0;279.0;Extrême-Droite
01200;Labalme;125;28.0;7.0;37.0;53.0;Gauche
01202;Lagnieu;4006;1241.0;322.0;1575.0;868.0;Extrême-Droite
01203;Laiz;735;276.0;54.0;261.0;144.0;Centre
01204;Le Poizat-Lalleyriat;423;149.0;43.0;152.0;79.0;Extrême-Droite
01206;Lantenay;175;56.0;9.0;69.0;41.0;Extrême-Droite
01207;Lapeyrouse;224;64.0;16.0;114.0;30.0;Extrême-Droite
01208;Lavours;90;29.0;6.0;34.0;21.0;Extrême-Droite
01209;Léaz;390;144.0;25.0;123.0;98.0;Centre
01210;Lélex;173;66.0;19.0;47.0;41.0;Centre
01211;Lent;850;315.0;70.0;317.0;148.0;Extrême-Droite
01212;Lescheroux;392;114.0;36.0;188.0;54.0;Extrême-Droite
01213;Leyment;781;212.0;42.0;352.0;175.0;Extrême-Droite
01214;Leyssard;99;32.0;8.0;32.0;27.0;Centre
01215;Surjoux-Lhopital;93;36.0;5.0;35.0;17.0;Centre
01216;Lhuis;522;166.0;64.0;195.0;97.0;Extrême-Droite
01219;Lompnas;97;25.0;19.0;35.0;18.0;Extrême-Droite
01224;Loyettes;1544;489.0;91.0;649.0;315.0;Extrême-Droite
01225;Lurcy;308;99.0;24.0;120.0;65.0;Extrême-Droite
01227;Magnieu;439;129.0;36.0;173.0;101.0;Extrême-Droite
01228;Maillat;387;142.0;33.0;167.0;45.0;Extrême-Droite
01229;Malafretaz;730;260.0;64.0;270.0;136.0;Extrême-Droite
01230;Mantenay-Montlin;211;70.0;28.0;79.0;34.0;Extrême-Droite
01231;Manziat;1227;493.0;114.0;451.0;169.0;Centre
01232;Marboz;1358;505.0;121.0;517.0;215.0;Extrême-Droite
01233;Marchamp;90;27.0;7.0;30.0;26.0;Extrême-Droite
01234;Marignieu;129;36.0;8.0;62.0;23.0;Extrême-Droite
01235;Marlieux;574;191.0;39.0;248.0;96.0;Extrême-Droite
01236;Marsonnas;567;219.0;44.0;211.0;93.0;Centre
01237;Martignat;849;256.0;58.0;335.0;200.0;Extrême-Droite
01238;Massieux;1651;593.0;144.0;569.0;345.0;Centre
01239;Massignieu-de-Rives;404;134.0;40.0;151.0;79.0;Extrême-Droite
01240;Matafelon-Granges;379;123.0;32.0;157.0;67.0;Extrême-Droite
01241;Meillonnas;870;312.0;73.0;280.0;205.0;Centre
01242;Mérignat;93;29.0;8.0;14.0;42.0;Gauche
01243;Messimy-sur-Saône;790;311.0;72.0;267.0;140.0;Centre
01244;Meximieux;4136;1457.0;311.0;1274.0;1094.0;Centre
