commune_code;commune_name;exprimes_nb;vote_C;vote_D;vote_ED;vote_G;resultat_election_2017
01001;L'Abergement-Clémenciat;495;121.0;152.0;126.0;96.0;Droite
01002;L'Abergement-de-Varey;176;37.0;41.0;48.0;50.0;Gauche
01004;Ambérieu-en-Bugey;6452;1337.0;1561.0;1667.0;1887.0;Gauche
01005;Ambérieux-en-Dombes;933;191.0;258.0;306.0;178.0;Extrême-Droite
01006;Ambléon;77;15.0;19.0;18.0;25.0;Gauche
01007;Ambronay;1548;349.0;337.0;458.0;404.0;Extrême-Droite
01008;Ambutrix;473;98.0;117.0;135.0;123.0;Extrême-Droite
01009;Andert-et-Condon;209;55.0;64.0;40.0;50.0;Droite
01010;Anglefort;589;111.0;140.0;207.0;131.0;Extrême-Droite
01011;Apremont;224;49.0;60.0;64.0;51.0;Extrême-Droite
01012;Aranc;218;52.0;35.0;56.0;75.0;Gauche
01013;Arandas;109;16.0;28.0;41.0;24.0;Extrême-Droite
01014;Arbent;1613;423.0;485.0;332.0;373.0;Droite
01015;Arboys en Bugey;437;113.0;122.0;101.0;101.0;Droite
01016;Arbigny;246;48.0;71.0;74.0;53.0;Extrême-Droite
01017;Argis;260;40.0;61.0;90.0;69.0;Extrême-Droite
01019;Armix;27;6.0;8.0;8.0;5.0;Droite
01021;Ars-sur-Formans;796;147.0;347.0;187.0;115.0;Droite
01022;Artemare;684;131.0;182.0;200.0;171.0;Extrême-Droite
01023;Asnières-sur-Saône;45;1.0;17.0;16.0;11.0;Droite
01024;Attignat;1850;388.0;557.0;493.0;412.0;Droite
01025;Bâgé-la-Ville;1834;463.0;502.0;508.0;361.0;Extrême-Droite
01026;Bâgé-le-Châtel;439;135.0;129.0;90.0;85.0;Centre
01027;Balan;992;225.0;282.0;303.0;182.0;Extrême-Droite
01028;Baneins;356;76.0;86.0;139.0;55.0;Extrême-Droite
01029;Beaupont;338;70.0;86.0;122.0;60.0;Extrême-Droite
01030;Beauregard;406;82.0;114.0;116.0;94.0;Extrême-Droite
01031;Bellignat;1420;312.0;440.0;338.0;330.0;Droite
01032;Béligneux;1543;309.0;392.0;496.0;346.0;Extrême-Droite
01033;Bellegarde-sur-Valserine;4223;984.0;1106.0;903.0;1230.0;Gauche
01034;Belley;4232;1000.0;1160.0;954.0;1118.0;Droite
01035;Belleydoux;205;37.0;57.0;61.0;50.0;Extrême-Droite
01036;Belmont-Luthézieu;367;60.0;103.0;81.0;123.0;Gauche
01037;Bénonces;173;27.0;70.0;52.0;24.0;Droite
01038;Bény;478;100.0;158.0;110.0;110.0;Droite
01039;Béon;288;68.0;62.0;78.0;80.0;Gauche
01040;Béréziat;267;44.0;83.0;78.0;62.0;Droite
01041;Bettant;477;99.0;96.0;146.0;136.0;Extrême-Droite
01042;Bey;184;40.0;63.0;36.0;45.0;Droite
01043;Beynost;2830;794.0;950.0;524.0;562.0;Droite
01044;Billiat;301;78.0;72.0;82.0;69.0;Extrême-Droite
