Code_geo;commune_name;resultat_election_2017;exprimes_nb_2017;G_2017;C_2017;D_2017;ED_2017;resultat_election_2022;exprimes_nb_2022;G_2022;C_2022;D_2022;ED_2022;residence_secondaire;pop_age_0_14_today;pop_age_15_64_today;pop_age_65plus_today;diploma_bac_today;diploma_sup_today;revenus_median_today;criminalite_today;criminalite_old1;criminalite_old2;surface_agri_today;surface_agri_old1;chomage_rate_today;chomage_rate_old1;chomage_rate_old2
1001;L'Abergement-Clémenciat;D;495;96.0;121.0;152.0;126.0;C;520.0;83.0;198.0;47.0;192.0;2.9023746701846966;162.0;525.0;172.0;49.693251533742334;29.60122699386504;25820.0;14361.0;12542.0;12757.0;888.57;837.12;45.0;40.0;40.0
1002;L'Abergement-de-Varey;G;176;50.0;37.0;41.0;48.0;C;171.0;56.0;70.0;8.0;37.0;23.42857142857143;57.0;166.0;50.0;65.4639175257732;43.81443298969072;24480.0;14361.0;12542.0;12757.0;195.12;160.8;15.0;15.0;10.0
1004;Ambérieu-en-Bugey;G;6452;1887.0;1337.0;1561.0;1667.0;ED;6553.0;1970.0;1917.0;490.0;2176.0;1.5695134304403346;2992.348288003257;9752.373817159065;2809.27789483767;47.83964473405285;28.784436453971075;21660.0;14361.0;12542.0;12757.0;71.4;77.36;40.0;40.0;40.0
1005;Ambérieux-en-Dombes;ED;933;178.0;191.0;258.0;306.0;ED;1028.0;180.0;344.0;75.0;429.0;0.8415139536938763;362.644439947245;1228.753770778007;325.601789274748;47.44191198473848;28.272630707711222;24610.0;14361.0;12542.0;12757.0;820.68;748.64;115.0;80.0;85.0
1006;Ambléon;G;77;25.0;15.0;19.0;18.0;C;77.0;23.0;25.0;10.0;19.0;11.267605633802818;10.0;72.0;32.0;44.55445544554456;28.71287128712871;24210.0;14361.0;12542.0;12757.0;256.52;66.42;10.0;10.0;10.0
1007;Ambronay;ED;1548;404.0;349.0;337.0;458.0;ED;1659.0;371.0;532.0;116.0;640.0;3.251417281514213;609.931863564956;1739.3082596095348;478.759876825509;49.959912721902725;30.20032484746087;24860.0;14361.0;12542.0;12757.0;1887.83;1781.81;160.0;175.0;190.0
1008;Ambutrix;ED;473;123.0;98.0;117.0;135.0;ED;463.0;92.0;148.0;40.0;183.0;3.214930697374822;146.173929712737;490.088621213521;127.737449073742;51.32201561997193;32.68551380640586;26300.0;14361.0;12542.0;12757.0;114.58;95.7;35.0;50.0;30.0
1009;Andert-et-Condon;D;209;50.0;55.0;64.0;40.0;C;228.0;66.0;78.0;21.0;63.0;12.280554611896692;50.7563783962393;197.51974724553327;86.7238743582273;55.19352781738359;31.45749831881006;23230.0;14361.0;12542.0;12757.0;121.71;194.29;15.0;20.0;20.0
1010;Anglefort;ED;589;131.0;111.0;140.0;207.0;ED;608.0;115.0;178.0;51.0;264.0;11.10982164566738;237.837710022818;723.611068461566;188.551221515616;41.82321488490334;21.37666747618091;24700.0;14361.0;12542.0;12757.0;326.21;356.81;85.0;90.0;75.0
1011;Apremont;ED;224;51.0;49.0;60.0;64.0;ED;236.0;43.0;81.0;20.0;92.0;8.151983336628922;86.974123782832;231.9230146118071;80.1028616053609;53.437759932925566;34.02358685798214;24530.0;14361.0;12542.0;12757.0;584.45;563.7;25.0;20.0;20.0
